time1,cali1,time2,cali2
17:57:53,-219.54,17:58:13,32.67
17:57:53,-219.52,17:58:13,31.83
17:57:53,-219.52,17:58:13,31.88
17:57:53,-219.52,17:58:13,32.27
17:57:53,-219.54,17:58:13,32.53
17:57:53,-219.54,17:58:13,32.61
17:57:53,-219.52,17:58:13,32.74
17:57:53,-219.52,17:58:13,32.68
17:57:53,-219.52,17:58:14,32.65
17:57:53,-219.5,17:58:14,31.4
17:57:53,-219.52,17:58:14,30.25
17:57:53,-219.52,17:58:14,29.66
17:57:53,-219.54,17:58:14,27.6
17:57:53,-219.56,17:58:14,25.32
17:57:53,-219.54,17:58:14,24.44
17:57:53,-219.56,17:58:14,22.36
17:57:53,-219.58,17:58:14,20.43
17:57:53,-219.54,17:58:14,19.2
17:57:53,-219.54,17:58:15,17.7
17:57:53,-219.56,17:58:15,15.95
17:57:53,-219.54,17:58:15,15.66
17:57:53,-219.56,17:58:15,15.15
17:57:53,-219.54,17:58:15,14.44
17:57:53,-219.52,17:58:15,13.84
17:57:53,-219.58,17:58:15,13.29
17:57:53,-219.58,17:58:15,12.42
17:57:53,-219.54,17:58:15,11.61
17:57:53,-219.54,17:58:15,11.21
17:57:53,-219.54,17:58:16,11.19
17:57:53,-219.56,17:58:16,10.77
17:57:53,-219.58,17:58:16,9.96
17:57:53,-219.54,17:58:16,9.38
17:57:53,-219.56,17:58:16,8.81
17:57:53,-219.56,17:58:16,8.61
17:57:53,-219.54,17:58:16,8.51
17:57:53,-219.54,17:58:16,8.12
17:57:53,-219.56,17:58:16,7.62
17:57:53,-219.56,17:58:16,7.16
17:57:53,-219.56,17:58:17,6.92
17:57:53,-219.56,17:58:17,6.45
17:57:53,-219.54,17:58:17,5.99
17:57:53,-219.54,17:58:17,5.56
17:57:53,-219.54,17:58:17,5.25
17:57:53,-219.54,17:58:17,4.92
17:57:53,-219.5,17:58:17,4.54
17:57:53,-219.52,17:58:17,4.18
17:57:53,-219.56,17:58:17,3.93
17:57:53,-219.52,17:58:17,3.59
17:57:53,-219.52,17:58:18,3.33
17:57:53,-219.52,17:58:18,3.28
17:57:53,-219.54,17:58:18,3.19
17:57:53,-219.52,17:58:18,3.1
17:57:53,-219.52,17:58:18,3.08
17:57:53,-219.54,17:58:18,2.94
17:57:53,-219.5,17:58:18,2.74
17:57:53,-219.54,17:58:18,2.75
17:57:53,-219.54,17:58:18,2.69
17:57:53,-219.5,17:58:18,2.54
17:57:53,-219.52,17:58:19,2.37
17:57:53,-219.54,17:58:19,2.3
17:57:53,-219.52,17:58:19,2.21
17:57:53,-219.52,17:58:19,2.01
17:57:53,-219.54,17:58:19,1.89
17:57:53,-219.54,17:58:19,1.76
17:57:53,-219.54,17:58:19,1.64
17:57:53,-219.52,17:58:19,1.49
17:57:53,-219.54,17:58:19,1.43
17:57:53,-219.54,17:58:19,1.27
17:57:53,-219.54,17:58:20,1.31
17:57:53,-219.54,17:58:20,1.29
17:57:53,-219.54,17:58:20,1.16
17:57:53,-219.5,17:58:20,0.97
17:57:53,-219.5,17:58:20,0.88
17:57:53,-219.52,17:58:20,0.7
17:57:53,-219.52,17:58:20,0.54
17:57:53,-219.52,17:58:20,0.47
17:57:53,-219.54,17:58:20,0.56
17:57:53,-219.54,17:58:20,0.54
17:57:53,-219.52,17:58:21,0.62
17:57:53,-219.5,17:58:21,0.74
17:57:53,-219.52,17:58:21,0.89
17:57:53,-219.52,17:58:21,1.12
17:57:53,-219.5,17:58:21,1.4
17:57:53,-219.5,17:58:21,1.9
17:57:53,-219.52,17:58:21,2.21
17:57:53,-219.48,17:58:21,2.64
17:57:53,-219.46,17:58:21,3.13
17:57:53,-219.5,17:58:21,3.25
17:57:53,-219.5,17:58:22,3.55
17:57:53,-219.5,17:58:22,3.96
17:57:53,-219.52,17:58:22,4.35
17:57:53,-219.52,17:58:22,4.54
17:57:53,-219.52,17:58:22,4.85
17:57:53,-219.5,17:58:22,4.93
17:57:53,-219.52,17:58:22,4.62
17:57:53,-219.52,17:58:22,4.36
17:57:53,-219.52,17:58:22,4.35
17:57:53,-219.52,17:58:22,4.44
17:57:53,-219.52,17:58:23,4.25
17:57:53,-219.52,17:58:23,4.39
17:57:53,-219.5,17:58:23,5.03
17:57:53,-219.48,17:58:23,5.33
17:57:53,-219.48,17:58:23,6.02
17:57:53,-219.5,17:58:23,6.88
17:57:53,-219.5,17:58:23,7.78
17:57:53,-219.52,17:58:23,8.44
17:57:53,-219.5,17:58:23,9.31
17:57:53,-219.5,17:58:23,9.95
17:57:53,-219.52,17:58:24,10.68
17:57:53,-219.5,17:58:24,11.35
17:57:53,-219.5,17:58:24,12.12
17:57:53,-219.5,17:58:24,13.13
17:57:53,-219.5,17:58:24,14.06
17:57:53,-219.5,17:58:24,14.54
17:57:53,-219.5,17:58:24,15.05
17:57:53,-219.52,17:58:24,15.82
17:57:53,-219.5,17:58:24,17.09
17:57:53,-219.5,17:58:24,18
17:57:53,-219.5,17:58:25,18.8
17:57:53,-219.5,17:58:25,19.64
17:57:53,-219.5,17:58:25,20.15
17:57:53,-219.46,17:58:25,20.3
17:57:53,-219.48,17:58:25,20.38
17:57:53,-219.48,17:58:25,20.92
17:57:53,-219.5,17:58:25,20.92
17:57:53,-219.5,17:58:25,20.63
17:57:53,-219.44,17:58:25,19.95
17:57:53,-219.48,17:58:25,20.24
17:57:53,-219.48,17:58:26,19.85
17:57:53,-219.46,17:58:26,20.75
17:57:53,-219.46,17:58:26,22.03
17:57:53,-219.42,17:58:26,23.07
17:57:53,-219.42,17:58:26,23.87
17:57:53,-219.42,17:58:26,24.36
17:57:53,-219.46,17:58:26,25.1
17:57:53,-219.44,17:58:26,25.21
17:57:53,-219.42,17:58:26,25.37
17:57:53,-219.42,17:58:26,25.67
17:57:53,-219.42,17:58:27,26.15
17:57:53,-219.42,17:58:27,26.6
17:57:53,-219.4,17:58:27,27.52
17:57:53,-219.36,17:58:27,27.81
17:57:53,-219.4,17:58:27,27.91
17:57:53,-219.38,17:58:27,27.67
17:57:53,-219.4,17:58:27,27.68
17:57:53,-219.4,17:58:27,27.85
17:57:53,-219.38,17:58:27,28.18
17:57:53,-219.4,17:58:27,27.9
17:57:53,-219.38,17:58:28,25.98
17:57:53,-219.38,17:58:28,23.01
17:57:53,-219.4,17:58:28,18
17:57:53,-219.38,17:58:28,16.34
17:57:53,-219.38,17:58:28,15.2
17:57:53,-219.36,17:58:28,13.96
17:57:53,-219.38,17:58:28,12.09
17:57:53,-219.38,17:58:28,10.08
17:57:53,-219.4,17:58:28,8.35
17:57:53,-219.4,17:58:28,7.14
17:57:53,-219.38,17:58:29,6.49
17:57:53,-219.4,17:58:29,6.08
17:57:53,-219.4,17:58:29,5.68
17:57:53,-219.36,17:58:29,5.31
17:57:53,-219.38,17:58:29,4.73
17:57:53,-219.4,17:58:29,4.38
17:57:53,-219.42,17:58:29,3.71
17:57:53,-219.42,17:58:29,3.64
17:57:53,-219.46,17:58:29,3.47
17:57:53,-219.46,17:58:29,3.22
17:57:53,-219.44,17:58:30,2.79
17:57:53,-219.44,17:58:30,2.52
17:57:53,-219.44,17:58:30,2.2
17:57:53,-219.46,17:58:30,2.07
17:57:53,-219.44,17:58:30,1.77
17:57:53,-219.46,17:58:30,1.56
17:57:53,-219.5,17:58:30,1.55
17:57:53,-219.5,17:58:30,1.54
17:57:53,-219.48,17:58:30,1.46
17:57:53,-219.5,17:58:30,1
17:57:53,-219.5,17:58:31,0.74
17:57:53,-219.48,17:58:31,1.08
17:57:53,-219.48,17:58:31,0.95
17:57:53,-219.46,17:58:31,0.92
17:57:53,-219.46,17:58:31,0.93
17:57:53,-219.48,17:58:31,0.9
17:57:53,-219.5,17:58:31,0.84
17:57:53,-219.5,17:58:31,0.85
17:57:53,-219.46,17:58:31,0.84
17:57:53,-219.44,17:58:31,0.88
17:57:53,-219.44,17:58:32,0.86
17:57:53,-219.42,17:58:32,0.95
17:57:53,-219.44,17:58:32,1.19
17:57:53,-219.44,17:58:32,1.55
17:57:53,-219.44,17:58:32,1.58
17:57:53,-219.44,17:58:32,1.56
17:57:53,-219.44,17:58:32,1.93
17:57:53,-219.42,17:58:32,2.15
17:57:53,-219.4,17:58:32,2.89
17:57:53,-219.42,17:58:32,3.38
17:57:53,-219.4,17:58:33,4.01
17:57:53,-219.4,17:58:33,4.67
17:57:53,-219.4,17:58:33,5.07
17:57:53,-219.4,17:58:33,5.25
17:57:53,-219.4,17:58:33,5.71
17:57:53,-219.42,17:58:33,6.66
17:57:53,-219.42,17:58:33,8.5
17:57:53,-219.38,17:58:33,10.61
17:57:53,-219.38,17:58:33,12.49
17:57:53,-219.38,17:58:33,12.44
17:57:53,-219.36,17:58:34,13.49
17:57:53,-219.38,17:58:34,14.27
17:57:53,-219.36,17:58:34,15.91
17:57:53,-219.36,17:58:34,17.21
17:57:53,-219.38,17:58:34,19.85
17:57:53,-219.38,17:58:34,21.89
17:57:53,-219.38,17:58:34,24.2
17:57:53,-219.36,17:58:34,25.04
17:57:53,-219.36,17:58:34,25.96
17:57:53,-219.38,17:58:34,27.15
17:57:53,-219.38,17:58:35,26.92
17:57:53,-219.4,17:58:35,26.72
17:57:53,-219.4,17:58:35,26.57
17:57:53,-219.42,17:58:35,26.85
17:57:53,-219.44,17:58:35,27.05
17:57:53,-219.42,17:58:35,27.61
17:57:53,-219.4,17:58:35,28.05
17:57:53,-219.42,17:58:35,28.35
17:57:53,-219.42,17:58:35,28.84
17:57:53,-219.42,17:58:35,29.68
17:57:53,-219.4,17:58:36,30.12
17:57:53,-219.42,17:58:36,30.23
17:57:53,-219.42,17:58:36,30.25
17:57:53,-219.38,17:58:36,30.46
17:57:53,-219.38,17:58:36,30.87
17:57:53,-219.4,17:58:36,31.47
17:57:53,-219.44,17:58:36,31.3
17:57:53,-219.4,17:58:36,31.61
17:57:53,-219.38,17:58:36,32
17:57:53,-219.42,17:58:36,31.71
17:57:53,-219.4,17:58:37,32.29
17:57:53,-219.38,17:58:37,32.36
17:57:53,-219.4,17:58:37,32.37
17:57:53,-219.38,17:58:37,32.68
17:57:53,-219.4,17:58:37,33.16
17:57:53,-219.42,17:58:37,32.87
17:57:53,-219.4,17:58:37,33.08
17:57:53,-219.4,17:58:37,33.08
17:57:53,-219.38,17:58:37,33.41
17:57:53,-219.38,17:58:37,33.17
17:57:53,-219.38,17:58:38,30.2
17:57:53,-219.4,17:58:38,28.07
17:57:53,-219.36,17:58:38,27.83
17:57:53,-219.38,17:58:38,24.22
17:57:53,-219.4,17:58:38,19.3
17:57:53,-219.4,17:58:38,15.21
17:57:53,-219.4,17:58:38,11.92
17:57:53,-219.38,17:58:38,9.28
17:57:53,-219.36,17:58:38,7.79
17:57:53,-219.36,17:58:38,6.5
17:57:53,-219.38,17:58:39,6.37
17:57:53,-219.38,17:58:39,5.18
17:57:53,-219.4,17:58:39,4.65
17:57:53,-219.36,17:58:39,3.87
17:57:53,-219.38,17:58:39,3.49
17:57:53,-219.4,17:58:39,3.28
17:57:53,-219.4,17:58:39,3.14
17:57:53,-219.4,17:58:39,3
17:57:53,-219.4,17:58:39,2.87
17:57:53,-219.38,17:58:39,2.74
17:57:53,-219.38,17:58:40,2.66
17:57:53,-219.38,17:58:40,2.83
17:57:53,-219.38,17:58:40,3.15
17:57:53,-219.38,17:58:40,3.25
17:57:53,-219.4,17:58:40,3.13
17:57:53,-219.4,17:58:40,3.09
17:57:53,-219.42,17:58:40,3.23
17:57:53,-219.42,17:58:40,3.25
17:57:53,-219.42,17:58:40,3.26
17:57:53,-219.44,17:58:40,3.5
17:57:53,-219.42,17:58:41,3.72
17:57:53,-219.42,17:58:41,3.99
17:57:53,-219.42,17:58:41,4.16
17:57:53,-219.44,17:58:41,4.25
17:57:53,-219.4,17:58:41,4.34
17:57:53,-219.38,17:58:41,3.64
17:57:53,-219.42,17:58:41,3.49
17:57:53,-219.4,17:58:41,3.72
17:57:53,-219.4,17:58:41,3.78
17:57:53,-219.4,17:58:41,3.91
17:57:53,-219.4,17:58:42,4.02
17:57:53,-219.38,17:58:42,3.89
17:57:53,-219.4,17:58:42,3.99
17:57:53,-219.42,17:58:42,4.17
17:57:53,-219.4,17:58:42,3.93
17:57:53,-219.42,17:58:42,4.2
17:57:53,-219.42,17:58:42,3.93
17:57:53,-219.4,17:58:42,4.05
17:57:53,-219.38,17:58:42,4.02
17:57:53,-219.38,17:58:42,3.78
17:57:53,-219.38,17:58:43,4.19
17:57:53,-219.38,17:58:43,4.27
17:57:53,-219.4,17:58:43,4.17
17:57:53,-219.4,17:58:43,4.35
17:57:53,-219.38,17:58:43,4.52
17:57:53,-219.38,17:58:43,4.45
17:57:53,-219.38,17:58:43,4.48
17:57:53,-219.38,17:58:43,4.77
17:57:53,-219.38,17:58:43,4.3
17:57:53,-219.4,17:58:43,4.96
17:57:53,-219.4,17:58:44,4.17
17:57:53,-219.38,17:58:44,4.83
17:57:53,-219.38,17:58:44,4.54
17:57:53,-219.38,17:58:44,4.46
17:57:53,-219.4,17:58:44,4.51
17:57:53,-219.4,17:58:44,4.64
17:57:53,-219.4,17:58:44,4.32
17:57:53,-219.44,17:58:44,4.37
17:57:53,-219.44,17:58:44,4.48
17:57:53,-219.44,17:58:44,4.71
17:57:53,-219.46,17:58:45,4.68
17:57:53,-219.46,17:58:45,4.74
17:57:53,-219.46,17:58:45,4.24
17:57:53,-219.46,17:58:45,4.23
17:57:53,-219.44,17:58:45,4.01
17:57:53,-219.46,17:58:45,4.14
